id;start_date;end_date;language
1;2019-05-13T18:02:17;2019-05-13T11:10:34;FRENCH
2;2019-05-13T19:32:23;2019-05-13T04:38:33;FRENCH
3;2019-05-13T15:04:27;2019-05-13T06:28:27;FRENCH
4;2019-05-13T04:16:18;2019-05-13T11:43:20;FRENCH
5;2019-05-13T13:14:57;2019-05-13T17:59:06;FRENCH
6;2019-05-13T19:31:58;2019-05-13T20:48:54;FRENCH
7;2019-05-13T04:54:18;2019-05-13T17:35:05;FRENCH
8;2019-05-13T02:25:37;2019-05-13T10:25:46;FRENCH
9;2019-05-13T12:13:43;2019-05-13T20:38:21;FRENCH
10;2019-05-13T15:31:52;2019-05-13T12:48:07;FRENCH
